Timestamp,Vitesse,Distance,Vitessemax,Distancesprint,Alerte
2025-03-21 17:25:19,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:19,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:19,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:20,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:20,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:20,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:20,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:21,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:21,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:21,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:21,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:22,0.1,0.7,36.0,587.0,-
2025-03-21 17:25:22,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:22,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:22,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:23,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:23,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:23,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:23,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:24,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:24,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:24,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:25,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:25,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:25,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:25,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:26,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:26,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:26,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:26,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:27,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:27,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:27,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:28,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:28,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:28,0.0,0.7,36.0,587.0,-
2025-03-21 17:25:28,0.0,0.7,36.0,587.0,-
